FECHA HECHO,CANTIDAD
17/01/2017,0.315
17/01/2017,0.225
17/01/2017,0.18
17/01/2017,0.07
17/01/2017,0.07
17/01/2017,0.1
17/01/2017,0.036
17/01/2017,0.342
17/01/2017,0.335
17/01/2017,0.6
17/01/2017,0.12
17/01/2017,0.007
17/01/2017,0.04
17/01/2017,0.06
17/01/2017,0.1
17/01/2017,0.095
18/01/2017,0.075
18/01/2017,0.055
18/01/2017,0.13
18/01/2017,0.032
18/01/2017,0.15
18/01/2017,0.04
18/01/2017,0.06
18/01/2017,0.26
18/01/2017,0.092
18/01/2017,0.04
18/01/2017,0.06
18/01/2017,0.097
18/01/2017,0.49
18/01/2017,0.15
18/01/2017,0.02
19/01/2017,0.038
19/01/2017,0.06
19/01/2017,0.075
19/01/2017,0.415
19/01/2017,0.012
19/01/2017,0.05
19/01/2017,0.03
19/01/2017,0.05
19/01/2017,0.1
19/01/2017,0.054
19/01/2017,0.555
19/01/2017,0.06
19/01/2017,0.1
19/01/2017,0.01
20/01/2017,0.041
20/01/2017,0.056
20/01/2017,5.486
20/01/2017,0.054
20/01/2017,0.06
20/01/2017,0.06
20/01/2017,0.1
20/01/2017,0.04
20/01/2017,0.05
20/01/2017,0.051
20/01/2017,0.11
20/01/2017,0.207
20/01/2017,0.078
21/01/2017,0.07
21/01/2017,0.03
21/01/2017,0.19
21/01/2017,0.012
21/01/2017,0.04
21/01/2017,0.3
21/01/2017,0.052
21/01/2017,0.08
21/01/2017,0.125
21/01/2017,0.097
21/01/2017,0.07
21/01/2017,0.1
21/01/2017,0.035
22/01/2017,0.08
22/01/2017,0.021
22/01/2017,3880.004
22/01/2017,0.04
22/01/2017,0.06
22/01/2017,0.05
22/01/2017,0.05
22/01/2017,0.035
22/01/2017,0.056
23/01/2017,0.09
23/01/2017,0.07
23/01/2017,0.012
23/01/2017,0.06
23/01/2017,0.2
23/01/2017,0.1
23/01/2017,0.531
23/01/2017,0.058
23/01/2017,0.11
23/01/2017,0.045
24/01/2017,0.1
24/01/2017,0.03
24/01/2017,0.145
24/01/2017,0.07
24/01/2017,0.09
24/01/2017,0.08
24/01/2017,0.032
24/01/2017,0.2
24/01/2017,0.05
24/01/2017,0.055
24/01/2017,1.0
24/01/2017,1.0
24/01/2017,0.6
24/01/2017,0.1
24/01/2017,0.22
24/01/2017,0.25
24/01/2017,20.0
24/01/2017,0.07
24/01/2017,0.04
24/01/2017,0.025
25/01/2017,0.08
25/01/2017,0.07
25/01/2017,0.3
25/01/2017,0.04
25/01/2017,0.038
25/01/2017,0.055
25/01/2017,0.056
26/01/2017,0.05
26/01/2017,0.12
26/01/2017,0.06
26/01/2017,0.25
26/01/2017,0.17
26/01/2017,0.05
26/01/2017,0.05
26/01/2017,0.3
26/01/2017,0.045
26/01/2017,0.08
26/01/2017,0.05
26/01/2017,14.0
26/01/2017,0.06
26/01/2017,0.045
26/01/2017,0.08
26/01/2017,0.08
26/01/2017,0.07
27/01/2017,0.045
27/01/2017,0.105
27/01/2017,0.176
27/01/2017,21.0
27/01/2017,3.025
27/01/2017,0.15
27/01/2017,0.03
27/01/2017,0.03
27/01/2017,0.032
27/01/2017,0.08
27/01/2017,0.4
27/01/2017,0.14
27/01/2017,0.05
27/01/2017,0.43
27/01/2017,0.055
27/01/2017,0.015
27/01/2017,0.3
27/01/2017,0.03
27/01/2017,0.031
27/01/2017,0.053
28/01/2017,0.16
28/01/2017,0.07
28/01/2017,0.05
28/01/2017,0.09
28/01/2017,0.1
28/01/2017,0.15
28/01/2017,0.08
28/01/2017,0.09
28/01/2017,0.301
28/01/2017,0.045
28/01/2017,0.02
28/01/2017,0.05
28/01/2017,0.051
28/01/2017,0.06
28/01/2017,0.1
28/01/2017,0.035
28/01/2017,0.062
29/01/2017,0.15
29/01/2017,1.769
29/01/2017,0.07
29/01/2017,0.09
29/01/2017,0.09
29/01/2017,0.033
29/01/2017,0.06
29/01/2017,0.076
29/01/2017,0.06
29/01/2017,0.13
29/01/2017,0.05
29/01/2017,0.08
29/01/2017,0.2
29/01/2017,0.016
30/01/2017,0.2
30/01/2017,0.064
30/01/2017,0.258
30/01/2017,0.048
30/01/2017,0.05
30/01/2017,0.035
30/01/2017,0.09
30/01/2017,0.04
30/01/2017,0.2
30/01/2017,0.5
30/01/2017,0.04
30/01/2017,0.04
30/01/2017,0.03
30/01/2017,0.05
30/01/2017,0.021
30/01/2017,0.1
31/01/2017,0.045
31/01/2017,0.282
31/01/2017,0.04
31/01/2017,0.04
31/01/2017,0.08
31/01/2017,0.085
31/01/2017,0.06
31/01/2017,0.04
01/02/2017,40.0
01/02/2017,0.13
01/02/2017,0.07
01/02/2017,0.06
01/02/2017,0.027
01/02/2017,0.01
01/02/2017,0.15
01/02/2017,0.047
01/02/2017,0.4
01/02/2017,0.08
01/02/2017,0.06
01/02/2017,0.15
01/02/2017,0.002
01/02/2017,0.08
01/02/2017,0.032
01/02/2017,0.056
02/02/2017,0.08
02/02/2017,0.05
02/02/2017,0.1
02/02/2017,0.12
02/02/2017,3.0
02/02/2017,0.05
02/02/2017,1.0
02/02/2017,0.298
02/02/2017,0.07
02/02/2017,0.1
02/02/2017,0.051
02/02/2017,10.0
02/02/2017,0.08
02/02/2017,0.035
02/02/2017,0.5
02/02/2017,0.003
03/02/2017,0.007
03/02/2017,0.1
03/02/2017,0.09
03/02/2017,2.0
03/02/2017,0.2
03/02/2017,28.0
